organization_code,site_code,site_name,site_description,site_latitude,site_longitude,site_alias,site_comments,current_site_code
SWFSC,MONTEREY-BAY,Monterey Bay,"Monterey Bay, California",,,,,
SWFSC,BAJA-CALIFORNIA-NORTE,Baja California Norte,Baja California Norte,,,,,
SWFSC,CHANNEL-ISLANDS,Channel Islands,"Channel Islands, California",,,,,
SWFSC,COLUMBIA-RIVER,Columbia River,Columbia River,,,,,
SWFSC,HALF-MOON-BAY,Half Moon Bay,"Half Moon Bay, California",,,,,
SWFSC,HUMBOLDT,Humboldt,"Humboldt, California",,,,,
SWFSC,MENDOCINO,Mendocino,"Mendocino, California",,,,,
SWFSC,MORRO-BAY,Morro Bay,"Morro Bay, California",,,,,
SWFSC,OREGON,Oregon,Oregon,,,,,
SWFSC,POINT-ARENA,Point Arena,"Point Arena, California",,,,,
SWFSC,SAN-DIEGO,San Diego,"San Diego, California",,,,,
SWFSC,SAN-FRANCISCO-BAY,San Francisco Bay,"San Francisco Bay, California",,,,,
SWFSC,WASHINGTON,Washington,Washington,,,,,
