organization_code,site_code,site_name,site_description,site_latitude,site_longitude,site_alias,site_comments
SWFSC,WAS,,WA/Canada border to N of Columbia River,,,,
SWFSC,COL,,N to S of Columbia River,,,,
SWFSC,ORE,,S of Columbia River to OR/CA border,,,,
SWFSC,HUM,,Oregon Border to Cape Mendocino,,,,
SWFSC,MND,,Cape Mendocino to Point Arena,,,,
SWFSC,PTA,,Point Arena to Bodega Bay,,,,
SWFSC,SFB,,Bodega Bay to Half Moon Bay,,,,
SWFSC,HMB,,Half Moon Bay to Santa Cruz,,,,
SWFSC,MBY,,Santa Cruz to Cambria,,,,
SWFSC,MOB,,Cambria to Point Conception,,,,
SWFSC,CHI,,Point Conception to Malibu,,,,
SWFSC,LAB,,Malibu to Dana Point/Catalina,,,,
SWFSC,SND,,Dana Point/Catalina to Tijuana,,,,
SWFSC,BCN,,Tijuana To Cedros,,,,
SWFSC,BCS,,Cedros to Cabo San Lucas,,,,
SWFSC,NePAC,,General Northeast Pacific Ocean region for mobile deployments,,,,
SWFSC,CRC,,Oregon Border to Trinidad,,,,
SWFSC,TRI,,Trinidad to Cape Mendocino,,,,
